,,,,,,,,,,,,,,,,
Program with corresponding TVET Program,,,,,,,,,Year 2,,,,Year 3,,,
Importing 2.1,Region,Sector,Subsector,Job Requirement,Programs,"Program
Type","Supply
Gap",,Supply Gap (%),Target Beneficiaries,,,Supply Gap (%),Target Beneficiaries,,
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|NETWORK ENGINEER AND FIBER OPTIC SPECIALIST|TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,NETWORK ENGINEER AND FIBER OPTIC SPECIALIST,TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II,WITH TR,555,,167,124,43,167,222,164,58,222
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|PHYTON PROGRAMMING|PROGRAMMING (.NET TECHNOLOGY) NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,PHYTON PROGRAMMING,PROGRAMMING (.NET TECHNOLOGY) NC III,WITH TR,"1,367",,273,177,96,273,478,295,183,478
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|PROJECT MANAGERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,PROJECT MANAGERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,167,106,273,478,218,260,478
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR DRUPAL DEVELOPER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR DRUPAL DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR SWIFT DEVELOPER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR SWIFT DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SERVER ADMINISTRATION|COMPUTER SYSTEMS SERVICING NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SERVER ADMINISTRATION,COMPUTER SYSTEMS SERVICING NC II,WITH TR,"6,633",,"3,259","2,470",789,"3,259","1,679","1,351",328,"1,679"
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOCIAL MEDIA PROFICIENCY|CONTENT CREATION (SOCIAL MEDIA) LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOCIAL MEDIA PROFICIENCY,CONTENT CREATION (SOCIAL MEDIA) LEVEL III,WITH CS,"1,367",,273,177,96,273,478,248,230,478
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOFTWARE DEVELOPMENT WITH AI|CYBER THREAT MONITORING LEVEL I|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOFTWARE DEVELOPMENT WITH AI,CYBER THREAT MONITORING LEVEL I,WITH CS,"1,367",,273,177,96,273,478,243,235,478
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOFTWARE QA|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOFTWARE QA,WEB DEVELOPMENT NC III,WITH TR,"1,367",,273,177,96,273,478,243,235,478
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SPEED TYPING|DATA ENCODING AND MANAGEMENT LEVEL II|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SPEED TYPING,DATA ENCODING AND MANAGEMENT LEVEL II,WITH CS,"1,367",,273,177,96,273,478,243,235,478
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|STRUCTURED CABLING|COMPUTER SYSTEMS SERVICING NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,STRUCTURED CABLING,COMPUTER SYSTEMS SERVICING NC II,WITH TR,"1,694",,848,631,217,848,423,315,108,423
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|TECHNICAL SUPPORT GROUP|CUSTOMER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,TECHNICAL SUPPORT GROUP,CUSTOMER SERVICES NC II,WITH TR,"4,275",,"1,284",612,672,"1,284","1,713",816,897,"1,713"
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|TECHNICAL TEAM|CUSTOMER SERVICES NC II|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,TECHNICAL TEAM,CUSTOMER SERVICES NC II,WITH CS,"1,367",,273,177,96,273,478,211,232,443
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VIRTUAL ASSISTANCE|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VIRTUAL ASSISTANCE,DIGITAL MARKETING LEVEL III,WITH CS,"2,025",,770,192,578,770,587,201,351,552
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VIRTUAL REALITY|VIRTUAL ASSISTANT SERVICES LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VIRTUAL REALITY,VIRTUAL ASSISTANT SERVICES LEVEL III,WITH CS,"1,367",,273,177,96,273,478,211,232,443
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VISUAL GRAPHIC/ ARTIST/ DESIGNER|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VISUAL GRAPHIC/ ARTIST/ DESIGNER,VISUAL GRAPHIC DESIGN NC III,WITH TR,"4,275",,"1,284",460,824,"1,284","1,713",781,932,"1,713"
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|WEB DEVELOPER AND DESIGNER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,WEB DEVELOPER AND DESIGNER,WEB DEVELOPMENT NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|WEBSITE CREATION|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,WEBSITE CREATION,WEB DEVELOPMENT NC III,WITH TR,"1,367",,273,177,96,273,478,288,190,478
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|GRAPHIC DESIGNERS|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,GRAPHIC DESIGNERS,VISUAL GRAPHIC DESIGN NC III,WITH TR,"1,703",,852,631,221,852,426,315,111,426
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|MASTER OF PHOTOSHOP|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,MASTER OF PHOTOSHOP,VISUAL GRAPHIC DESIGN NC III,WITH TR,290,,145,100,45,145,73,50,23,73
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION NC III,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VISUAL GRAPHIC DESIGNER|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VISUAL GRAPHIC DESIGNER,VISUAL GRAPHIC DESIGN NC III,WITH TR,"1,413",,707,531,176,707,353,265,88,353
REGION_VII|MANUFACTURING|AUTOMOTIVE AND LAND TRANSPORTATION PRODUCTION (OEM) ASSEMBLY|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR,REGION_VII,MANUFACTURING,AUTOMOTIVE AND LAND TRANSPORTATION PRODUCTION (OEM) ASSEMBLY,AUTO ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,"1,367",,273,157,116,273,478,263,215,478
REGION_VII|MANUFACTURING|CONSTRUCTION|MASON|MASONRY NC I|WITH TR,REGION_VII,MANUFACTURING,CONSTRUCTION,MASON,MASONRY NC I,WITH TR,"8,498",,"4,250","2,442","1,808","4,250","2,125","1,121","1,004","2,125"
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|CALIBRATION TECHNICIAN|INSTRUMENTATION AND CONTROL SERVICING NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,CALIBRATION TECHNICIAN,INSTRUMENTATION AND CONTROL SERVICING NC II,WITH TR,"8,495",,"4,248","1,735","2,513","4,248","2,124","1,121","1,003","2,124"
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|DATABASE ADMINISTRATOR|PROGRAMMING (ORACLE DATABASE) NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,DATABASE ADMINISTRATOR,PROGRAMMING (ORACLE DATABASE) NC III,WITH TR,"1,367",,273,177,96,273,478,253,225,478
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|ELECTRICAL LEADMAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,ELECTRICAL LEADMAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,"2,018",,767,552,215,767,585,488,97,585
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,"1,367",,273,202,71,273,478,338,140,478
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INDUSTRIAL ELECTRONIC TECHNICIAN|DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INDUSTRIAL ELECTRONIC TECHNICIAN,DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,"4,946",,"1,918",493,"1,425","1,918","1,644",418,"1,226","1,644"
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INSTRUMENT TECHNICIAN 2|INSTRUMENTATION AND CONTROL SERVICING NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INSTRUMENT TECHNICIAN 2,INSTRUMENTATION AND CONTROL SERVICING NC III,WITH TR,"1,367",,273,177,96,273,478,263,215,478
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INSTRUMENT TECHNICIAN 3|INSTRUMENTATION AND CONTROL SERVICING NC IV|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INSTRUMENT TECHNICIAN 3,INSTRUMENTATION AND CONTROL SERVICING NC IV,WITH TR,"1,367",,273,177,96,273,478,263,215,478
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INTEGRATION SPECIALIST|PROGRAMMING (.NET TECHNOLOGY) NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INTEGRATION SPECIALIST,PROGRAMMING (.NET TECHNOLOGY) NC III,WITH TR,"1,367",,273,177,96,273,478,268,210,478
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MAINTENANCE ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MAINTENANCE ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,"8,299",,"4,153","3,687",466,"4,153","2,076","1,743",333,"2,076"
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MANUFACTURING SYSTEMS DEVELOPER|PROGRAMMING (JAVA) NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MANUFACTURING SYSTEMS DEVELOPER,PROGRAMMING (JAVA) NC III,WITH TR,"2,022",,769,342,427,769,586,358,228,586
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,WITH TR,"2,812",,"1,182",389,793,"1,182",778,363,415,778
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|PCB DESIGN TECHNICIAN|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,PCB DESIGN TECHNICIAN,ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,"8,478",,"4,239","2,441","1,798","4,239","2,121","1,621",500,"2,121"
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN|DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN,DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,"4,935",,"1,912",493,"1,419","1,912","1,641",415,"1,226","1,641"
"REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|SOLDERING, MICROSCOPE OPERATION|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR",REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,"SOLDERING, MICROSCOPE OPERATION",ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,"8,478",,"4,239","2,640","1,599","4,239","2,121","1,220",901,"2,121"
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|SUPERVISING TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC IV|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,SUPERVISING TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,WITH TR,"1,367",,273,202,71,273,478,308,170,478
REGION_VII|MANUFACTURING|FURNITURE AND FIXTURES|CARPENTER|CARPENTRY NC II|WITH TR,REGION_VII,MANUFACTURING,FURNITURE AND FIXTURES,CARPENTER,CARPENTRY NC II,WITH TR,"8,496",,"4,250","2,641","1,609","4,250","2,125","1,496",629,"2,125"
REGION_VII|MANUFACTURING|GAME DEVELOPMENT SERVICES|GAME PROGRAMMER|GAME PROGRAMMING NC III|WITH TR,REGION_VII,MANUFACTURING,GAME DEVELOPMENT SERVICES,GAME PROGRAMMER,GAME PROGRAMMING NC III,WITH TR,"1,367",,273,177,96,273,478,253,225,478
REGION_VII|MANUFACTURING|GARMENTS|GARMENT SEWER|DRESSMAKING NC II|WITH TR,REGION_VII,MANUFACTURING,GARMENTS,GARMENT SEWER,DRESSMAKING NC II,WITH TR,"8,416",,"4,211","3,088","1,123","4,211","2,105","1,619",486,"2,105"
REGION_VII|MANUFACTURING|GARMENTS|INDUSTRIAL SEWING MACHINE OPERATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,GARMENTS,INDUSTRIAL SEWING MACHINE OPERATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,541",,393,211,182,393,511,264,247,511
REGION_VII|MANUFACTURING|GARMENTS|TAILOR|TAILORING NC II|WITH TR,REGION_VII,MANUFACTURING,GARMENTS,TAILOR,TAILORING NC II,WITH TR,"4,776",,"1,634",728,906,"1,634","1,763",746,"1,017","1,763"
"REGION_VII|MANUFACTURING|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|RAC TECHNICIAN/ INSTALLERS|COMMERCIAL AIR-CONDITIONING INSTALLATION AND SERVICING NC III|WITH TR",REGION_VII,MANUFACTURING,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",RAC TECHNICIAN/ INSTALLERS,COMMERCIAL AIR-CONDITIONING INSTALLATION AND SERVICING NC III,WITH TR,"6,194",,"2,656","1,389","1,267","2,656","1,882","1,032",850,"1,882"
"REGION_VII|MANUFACTURING|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|RAC TECHNICIAN/ INSTALLERS|RAC SERVICING (DOMRAC) NC II|WITH TR",REGION_VII,MANUFACTURING,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",RAC TECHNICIAN/ INSTALLERS,RAC SERVICING (DOMRAC) NC II,WITH TR,"4,838",,"1,695",733,962,"1,695","1,757",881,876,"1,757"
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,"1,367",,273,207,66,273,478,330,148,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC III,WITH TR,"1,367",,273,207,66,273,478,325,153,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC IV|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC IV,WITH TR,"1,367",,273,172,101,273,478,325,153,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|FCAW PLATE WELDER (ALLOY STEEL)|FLUX-CORED ARC WELDING (FCAW) NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,FCAW PLATE WELDER (ALLOY STEEL),FLUX-CORED ARC WELDING (FCAW) NC III,WITH TR,"1,367",,273,247,26,273,478,393,85,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GAS (OXY-ACETYLENE) WELDER|GAS WELDING NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GAS (OXY-ACETYLENE) WELDER,GAS WELDING NC I,WITH TR,"1,367",,273,202,71,273,478,320,158,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GAS WELDER (OXY-ACETYLENE)|GAS WELDING NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GAS WELDER (OXY-ACETYLENE),GAS WELDING NC II,WITH TR,"2,024",,770,542,228,770,587,475,112,587
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GMAW WELDER (ALLOY STEEL)|GAS METAL ARC WELDING (GMAW) NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GMAW WELDER (ALLOY STEEL),GAS METAL ARC WELDING (GMAW) NC III,WITH TR,"1,367",,273,252,21,273,478,408,70,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GTAW OR TIG PIPE WELDER (ALLOY STEEL)|GAS TUNGSTEN ARC WELDING (GTAW) NC IV|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GTAW OR TIG PIPE WELDER (ALLOY STEEL),GAS TUNGSTEN ARC WELDING (GTAW) NC IV,WITH TR,"1,367",,273,252,21,273,478,408,70,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|GTAW/TIG WELDER|GAS TUNGSTEN ARC WELDING (GTAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,GTAW/TIG WELDER,GAS TUNGSTEN ARC WELDING (GTAW) NC II,WITH TR,"6,346",,"2,748","1,663","1,085","2,748","1,909","1,209",700,"1,909"
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|INSTRUMENTATION TECHNICIAN|DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,INSTRUMENTATION TECHNICIAN,DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,"4,942",,"1,916",485,"1,431","1,916","1,643",409,"1,234","1,643"
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MACHINIST|MACHINING NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MACHINIST,MACHINING NC I,WITH TR,"4,849",,"1,700",938,762,"1,700","1,760",951,809,"1,760"
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MACHINIST|MACHINING NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MACHINIST,MACHINING NC II,WITH TR,"5,339",,"2,046",888,"1,158","2,046","1,807",951,856,"1,807"
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MILLWRIGHT FITTER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MILLWRIGHT FITTER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"2,328",,822,147,675,822,743,231,512,743
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|MILLWRIGHT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,MILLWRIGHT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"2,328",,822,137,685,822,743,231,512,743
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE FITTER|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE FITTER,PIPEFITTING (METALLIC) NC II,WITH TR,"4,514",,"1,496",964,532,"1,496","1,382",996,386,"1,382"
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE WELDER (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE WELDER (FCAW),FLUX-CORED ARC WELDING (FCAW) NC II,WITH TR,507,,101,50,51,101,177,77,100,177
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE WELDER (GMAW)|GAS METAL ARC WELDING (GMAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE WELDER (GMAW),GAS METAL ARC WELDING (GMAW) NC II,WITH TR,"7,415",,"3,646","2,792",854,"3,646","1,875","1,568",307,"1,875"
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PIPE WELDER (SAW)|SUBMERGED ARC WELDING (SAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PIPE WELDER (SAW),SUBMERGED ARC WELDING (SAW) NC II,WITH TR,"1,367",,273,157,116,273,478,253,225,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PLATE WELDER (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PLATE WELDER (FCAW),FLUX-CORED ARC WELDING (FCAW) NC I,WITH TR,"1,367",,273,263,10,273,478,396,82,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PLATE WELDER (GMAW)|GAS METAL ARC WELDING (GMAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PLATE WELDER (GMAW),GAS METAL ARC WELDING (GMAW) NC I,WITH TR,"1,367",,273,263,10,273,478,396,82,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PLATE WELDER (SAW)|SUBMERGED ARC WELDING (SAW) NC I|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PLATE WELDER (SAW),SUBMERGED ARC WELDING (SAW) NC I,WITH TR,"1,367",,273,177,96,273,478,246,232,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|PRECISION GRINDING MACHINE OPERATOR|MACHINING NC III|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,PRECISION GRINDING MACHINE OPERATOR,MACHINING NC III,WITH TR,"1,367",,273,177,96,273,478,241,237,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|WELDER|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,WELDER,MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,"1,367",,273,202,71,273,478,321,157,478
REGION_VII|MANUFACTURING|METALS AND ENGINEERING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,MANUFACTURING,METALS AND ENGINEERING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,"1,367",,273,202,71,273,478,321,157,478
